id,error_text,candidate_id,label,difficulty,difficulty_score,title,candidate_source_plan,source_file,split
P011,"$ python -c ""import agent_ext""
Traceback (most recent call last):
  ...
ImportError: /venv/lib/python3.11/site-packages/agent_ext.so:
version `GLIBCXX_3.4.32' not found

$ strings /usr/lib/x86_64-linux-gnu/libstdc++.so.6 | grep GLIBCXX_3.4. | tail -1
GLIBCXX_3.4.30

$ python -m pip show agent-ext
Name: agent-ext
Version: 1.7.0",E-H4,ENV_DEPENDENCY,Hard,9,ImportError / loader symbol failure,PUBLIC_CASE / ADAPTED_CASE,ENV_DEPENDENCY统一收紧最终候选版V3.md,pilot
P012,"call site:
client.invoke(messages, timeout_s=30)

runtime introspection:
inspect.signature(client.invoke)
(messages, *, timeout=None, config=None)

Traceback:
TypeError: invoke() got an unexpected keyword argument 'timeout_s'",R-M2,CODE_RUNTIME,Medium,6,当前函数签名存在，但调用参数名写错,SYNTHETIC / ADAPTED_CASE,CODE_RUNTIME统一收紧最终候选版V4.md,pilot
P013,"$ python -m pip show torch
Name: torch
Version: 2.x
Location: /venv/lib/python3.x/site-packages

$ python -c ""import torch""
Traceback (most recent call last):
  ...
OSError: libtorch_cuda.so: undefined symbol: cudnnCreateTensorDescriptor

$ ldd /venv/lib/python3.x/site-packages/torch/lib/libtorch_cuda.so | grep cudnn
libcudnn.so.9 => not found",E-M3,ENV_DEPENDENCY,Medium,6,包存在，但 native loader 失败,PUBLIC_CASE / ADAPTED_CASE,ENV_DEPENDENCY统一收紧最终候选版V3.md,pilot
P014,"tool transport:
HTTP 200
response_body={""items"":[{""id"":""d1""},{""id"":""d2""}],""count"":2}

tool adapter trace:
response.json() -> dict
ToolMessage(
  content='[{""id"":""d1""},{""id"":""d2""}]',
  artifact={""count"":2}
)

answer handler:
message_type=ToolMessage
content_type=str

Traceback:
AttributeError: 'str' object has no attribute 'get'",R-M1,CODE_RUNTIME,Medium,6,Tool wrapper 改变数据类型，handler 误判 content 结构,ADAPTED_CASE / SYNTHETIC,CODE_RUNTIME统一收紧最终候选版V4.md,pilot
P015,"commit=4b21d11

local Python run:
client = ProviderClient(...)
client.stream_responses.create(...)

Traceback:
AttributeError: 'ProviderClient' object has no attribute 'stream_responses'

local package snapshot:
provider-sdk==1.8.2
httpx==0.27.2

same machine:
curl POST https://api.provider.example/v1/stream-responses
HTTP 200
response id: resp_b61...

CI integration for commit 4b21d11:
client.stream_responses.create(...) ... PASSED

CI package snapshot:
provider-sdk==2.3.1
httpx==0.27.2",E-H3,ENV_DEPENDENCY,Hard,,中性 SDK + curl / CI / package snapshot,,ENV_DEPENDENCY统一收紧最终候选版V3.md,pilot
P016,"process:
pid=21904
package_snapshot_sha256=81af...

runtime introspection:
inspect.signature(ChatAdapter.__init__)
(*, model, reasoning=None, timeout=None)

base config:
model:
  reasoning: ""medium""
  timeout: 30

project override:
model:
  provider_options:
    reasoning_effort: ""medium""

config merge trace:
stage=load_base
keys=[""model.reasoning"",""model.timeout""]

stage=apply_project_override
keys=[
  ""model.reasoning"",
  ""model.timeout"",
  ""model.provider_options.reasoning_effort""
]

stage=flatten_provider_options
kwargs_keys=[
  ""model"",
  ""reasoning"",
  ""timeout"",
  ""reasoning_effort""
]

config-driven startup:
Traceback:
TypeError: ChatAdapter.__init__() got an unexpected keyword argument 'reasoning_effort'

control A, same pid:
ChatAdapter(model=""agent-model-x"", reasoning=""medium"", timeout=30)
instance created

control B, same pid:
project override removed
config-driven startup completed",R-H1,CODE_RUNTIME,Hard,9,多层配置 merge 破坏合法参数映射：ENV_DEPENDENCY 镜像,SYNTHETIC / ADAPTED_CASE,CODE_RUNTIME统一收紧最终候选版V4.md,pilot
P017,"session_id=s_9921
user_message_sha256=ad41...
model_alias=agent-model-x

shared request components:
system_and_history_tokens=3650
user_message_tokens=238

model metadata:
max_sequence_length=4096

request A:
tools=[]
route=provider-primary

request trace:
response_id=resp_a18...
model response returned

request B:
tools=[search_docs, query_db, fetch_url]
route=provider-primary

tool schema compiler:
search_docs.schema_tokens=74
query_db.schema_tokens=83
fetch_url.schema_tokens=91
tool_wrapper_tokens=42

application:
RuntimeError: model invocation failed

package_snapshot_sha256=7f91...",C-H3,CONTEXT_LIMIT,Hard,,Tool schema 注入 + tools off/on A/B,,CONTEXT_LIMIT统一收紧最终候选版V4.md,pilot
P018,"$ git rev-parse --short HEAD
91fa2c7

$ python test_message.py
Traceback (most recent call last):
  ...
AttributeError: 'AIMessage' object has no attribute 'tool_calls'

$ pip freeze | grep langchain-core
langchain-core==0.2.4

CI job for commit 91fa2c7:
test_message.py ... PASSED

CI package snapshot:
langchain-core==0.3.8",E-M1,ENV_DEPENDENCY,Medium,6,同代码本地 AttributeError，CI 通过,SYNTHETIC / ADAPTED_CASE,ENV_DEPENDENCY统一收紧最终候选版V3.md,pilot
P019,"request builder:
json_bytes=11844231

transport:
Content-Encoding: gzip
Content-Length: 9128044

edge config:
max_request_wire_bytes=10485760

attempt A:
edge=gw-a
bytes_sent=7340032
request_id=<none>
application: OSError: [Errno 32]

retry:
request body hash unchanged
Content-Length: 9128044
edge=gw-b
request_id=req_71c...
HTTP 200",N-H4,NETWORK_API,Hard,,raw JSON vs wire Content-Length + gateway A/B,,NETWORK_API统一收紧最终候选版V4.md,pilot
P020,"request_id=local_7f2
timeout_config=30.0s

local timeline:
14:21:05.000 request future created
14:21:05.004 transport send started
14:21:34.918 socket reader received final response bytes
14:21:34.920 response buffer complete: 1842 bytes
14:21:34.921 completion callback queued
14:21:35.000 watchdog task woke
14:21:35.001 future.cancel()
14:21:35.004 completion callback executed

provider record:
HTTP 200
response_id=resp_73c...
response_body_bytes=1842

completion callback:
future_state=cancelled
set_result(response) -> InvalidStateError

agent node:
RuntimeError: provider call timed out
state key 'answer' not written",R-H2,CODE_RUNTIME,Hard,10,Provider 完整响应已到达，但本地 cancellation race 抢先取消 Future：NETWORK_API 镜像,SYNTHETIC / ADAPTED_CASE,CODE_RUNTIME统一收紧最终候选版V4.md,pilot
P021,"application:
RuntimeError: provider call returned no response

packet trace:
14:07:12.101  10.0.0.24:53144 > 10.24.8.17:443  Flags [S]
14:07:13.109  10.0.0.24:53144 > 10.24.8.17:443  Flags [S]
14:07:15.126  10.0.0.24:53144 > 10.24.8.17:443  Flags [S]
14:07:19.158  10.0.0.24:53144 > 10.24.8.17:443  Flags [S]

application trace:
provider_request_id=<none>
response_headers=0",N-M4,NETWORK_API,Medium,6,外层 RuntimeError + TCP 握手未完成,ADAPTED_CASE / SYNTHETIC,NETWORK_API统一收紧最终候选版V4.md,pilot
P022,"tokenizer:
input_ids length = 8110

generation config:
max_new_tokens = 512

model config.json:
""max_position_embeddings"": 8192

application:
RuntimeError: generation request rejected",C-M1,CONTEXT_LIMIT,Medium,5,tokenizer + max_new_tokens + model config,SYNTHETIC / ADAPTED_CASE,CONTEXT_LIMIT统一收紧最终候选版V4.md,pilot
P023,"stream chunks received:
1: {""delta"":""The""}
2: {""delta"":"" result""}
3: {""delta"":"" is""

parser:
json.decoder.JSONDecodeError: Expecting ',' delimiter at char 284

gateway access log:
status=200
response_bytes=284
upstream_response_bytes=917",N-M3,NETWORK_API,Medium,6,流式响应被截断，外层是解析失败,ADAPTED_CASE,NETWORK_API统一收紧最终候选版V4.md,pilot
P024,"conversation trace:
messages before tool result = 15700 tokens

tool output tokenizer:
1120 tokens

model config.json:
""max_position_embeddings"": 16384

next model call:
RuntimeError: provider request rejected",C-M2,CONTEXT_LIMIT,Medium,6,history + tool result 跨过容量边界,SYNTHETIC,CONTEXT_LIMIT统一收紧最终候选版V4.md,pilot
