id,error_text,label,reason,source_type,source_reference,split
T030,"ERROR: ResolutionImpossible: package_a requires pydantic<2, but package_b requires pydantic>=2",ENV_DEPENDENCY,Two dependencies require incompatible versions of the same package.,PUBLIC_CASE,pip documentation - Dependency Resolution: https://pip.pypa.io/en/stable/topics/dependency-resolution/,test
T031,HTTP 413 Content Too Large: the request entity is larger than the limit defined by the server,CONTEXT_LIMIT,The server explicitly rejects the request because its body exceeds the allowed size.,PUBLIC_CASE,MDN - 413 Content Too Large: https://developer.mozilla.org/en-US/docs/Web/HTTP/Reference/Status/413,test
T032,KeyError: 'current_task' while reading agent state,CODE_RUNTIME,The program attempted to read a state mapping key that does not exist.,SYNTHETIC,Derived from Python KeyError runtime pattern.,test
T033,ContextWindowExceeded: cannot append tool results because the current conversation already uses the full context budget,CONTEXT_LIMIT,Tool results cannot be appended because no context capacity remains.,SYNTHETIC,Derived from agent/tool-result context overflow pattern.,test
T034,Cannot process request: encoded input has 4097 positions but the model supports only 4096,CONTEXT_LIMIT,The encoded sequence exceeds the model's positional/context limit by one position.,SYNTHETIC,Derived from transformer sequence-length limit pattern.,test
T035,"The installed CUDA runtime is 11.8, but this package was compiled against CUDA 12.1",ENV_DEPENDENCY,The runtime environment and compiled package require incompatible CUDA versions.,SYNTHETIC,Derived from compiled-library/runtime version mismatch pattern.,test
T036,"maximum context length is 128000 tokens, however your messages resulted in 131442 tokens",CONTEXT_LIMIT,The message tokens exceed the model's declared context window.,SYNTHETIC,Derived from common LLM maximum-context-length error pattern.,test
T037,Request too large: messages array exceeds the endpoint's maximum request size,CONTEXT_LIMIT,The API rejects the messages payload because the request size exceeds the endpoint limit.,SYNTHETIC,Derived from HTTP/API request-size limit pattern.,test
T038,ProxyError: Unable to connect to proxy; connection refused while calling the LLM endpoint,NETWORK_API,The API call cannot pass through the configured proxy because the proxy connection is refused.,SYNTHETIC,Derived from common HTTP proxy connection failure pattern.,test
T039,RuntimeError: This event loop is already running,CODE_RUNTIME,The code attempts an invalid event-loop operation during execution.,SYNTHETIC,Derived from common asyncio runtime misuse pattern.,test
T040,NameError: name 'tool_result' is not defined,CODE_RUNTIME,The running program references a variable that has not been defined.,PUBLIC_CASE,Python documentation - Built-in Exceptions: https://docs.python.org/3/library/exceptions.html,test
T041,ImportError: libcuda.so.1: cannot open shared object file: No such file or directory,ENV_DEPENDENCY,A required system shared library is missing from the runtime environment.,SYNTHETIC,Derived from dynamic-library dependency loading failure pattern.,test
T042,Error: Cannot find module '@langchain/core' required by ./agent.js,ENV_DEPENDENCY,The Node.js runtime cannot locate a required project dependency.,SYNTHETIC,Derived from Node.js missing-module dependency pattern.,test
T043,ImportError: DLL load failed while importing torch: The specified module could not be found,ENV_DEPENDENCY,A binary dependency required by the installed package cannot be loaded.,SYNTHETIC,Derived from Python binary-extension dependency loading failure pattern.,test
T044,UnboundLocalError: local variable 'response' referenced before assignment,CODE_RUNTIME,The function accesses a local variable before assigning it.,PUBLIC_CASE,Python documentation - Built-in Exceptions: https://docs.python.org/3/library/exceptions.html,test
T045,"pip check: agent-core 1.4 requires httpx<0.28, but you have httpx 0.28.1 installed",ENV_DEPENDENCY,An installed dependency version violates another package's declared constraint.,SYNTHETIC,Derived from pip dependency-conflict reporting pattern.,test
T046,ERROR: Could not find a version that satisfies the requirement agentlib==9.9.9 (from versions: none),ENV_DEPENDENCY,The requested dependency version cannot be found/installed in the package index.,SYNTHETIC,Derived from pip package-resolution failure pattern.,test
T047,TypeError: can only concatenate str (not 'dict') to str,CODE_RUNTIME,The code performs an operation on incompatible runtime value types.,PUBLIC_CASE,Python documentation - Built-in Exceptions: https://docs.python.org/3/library/exceptions.html,test
T048,Token limit exceeded while serializing agent memory: 70214 tokens > 65536 token budget,CONTEXT_LIMIT,The agent memory content exceeds its configured token budget.,SYNTHETIC,Derived from agent-memory token budget overflow pattern.,test
T049,ModuleNotFoundError: No module named 'langgraph',ENV_DEPENDENCY,A required Python module cannot be located in the current environment.,PUBLIC_CASE,Python documentation - Built-in Exceptions: https://docs.python.org/3/library/exceptions.html,test
T050,ZeroDivisionError: division by zero,CODE_RUNTIME,A runtime arithmetic operation attempted to divide by zero.,PUBLIC_CASE,Python documentation - Built-in Exceptions: https://docs.python.org/3/library/exceptions.html,test
T051,Error running remote compact task: unexpected status 413 Payload Too Large for /v1/responses,CONTEXT_LIMIT,The request body is rejected for being too large; in this taxonomy that is an input/request-size limit failure.,REAL_LOG,User-provided development log: Codex/API HTTP 413 Payload Too Large error,test
T052,ERROR: Package 'agent-sdk' requires a different Python: 3.10.13 not in '>=3.11',ENV_DEPENDENCY,The installed Python interpreter version does not satisfy the package requirement.,SYNTHETIC,Derived from Python package interpreter-version requirement pattern.,test
T053,Input length 10024 tokens exceeds the configured model_max_length of 8192,CONTEXT_LIMIT,The tokenized input is longer than the configured model maximum.,SYNTHETIC,Derived from tokenizer/model maximum-length error pattern.,test
T054,Temporary failure in name resolution while connecting to model-service.internal,NETWORK_API,"The host name cannot be resolved, making this a network connectivity failure.",SYNTHETIC,Derived from common DNS resolution failure pattern.,test
T055,OSError: libcudnn.so.9: cannot open shared object file: No such file or directory,ENV_DEPENDENCY,A required system-level shared library dependency is absent.,SYNTHETIC,Derived from dynamic shared-library dependency failure pattern.,test
T056,RemoteDisconnected: Remote end closed connection without response during /v1/responses request,NETWORK_API,The remote endpoint closed the connection before returning an HTTP response.,SYNTHETIC,Derived from standard remote disconnection pattern.,test
T057,"413 Payload Too Large: serialized messages payload is 12.4 MB, server limit is 10 MB",CONTEXT_LIMIT,The serialized request payload exceeds the server's accepted body-size limit.,SYNTHETIC,Derived from MDN HTTP 413 semantics.,test
T058,"Unsupported Python version: this project supports Python 3.11-3.13, detected Python 3.9.18",ENV_DEPENDENCY,The interpreter version falls outside the supported environment range.,SYNTHETIC,Derived from package runtime-version requirement pattern.,test
T059,"requests.exceptions.ConnectTimeout: HTTPSConnectionPool(host='api.example.com', port=443): Connection timed out.",NETWORK_API,The client could not establish the remote connection within the configured timeout.,SYNTHETIC,Derived from Requests timeout/connection exception patterns.,test
T060,ERROR: Cannot install langchain-x==1.0 and tool-y==2.0 because these package versions have conflicting dependencies,ENV_DEPENDENCY,The environment cannot resolve mutually incompatible dependency requirements.,SYNTHETIC,Derived from pip ResolutionImpossible example pattern.,test
